publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,macrophyte_identification,dm_gm2,log_dm_gm2,dm_gm2_value,dm_gm2_conversion,dm_gm2_location,tp_stock_gm2,log_tp_stock_gm2,tp_stock_gm2_value,tp_stock_gm2_conversion,tp_stock_gm2_location,tn_stock_gm2,log_tn_stock_gm2,tn_stock_gm2_value,tn_stock_gm2_conversion,tn_stock_gm2_location
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,299.33,2.476,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground gramminoid sp. and moss sp.,303.53,2.482,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Lemna trisulca and moss sp.,304,2.483,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,313.94,2.497,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,333.81,2.523,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground moss sp.,352.71,2.547,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground moss sp.,363,2.56,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,369.08,2.567,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,378.82,2.578,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,383.36,2.584,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,409.15,2.612,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,411.05,2.614,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,470.81,2.673,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,494.79,2.694,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile and Carex aquatilis,551.43,2.741,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,666.67,2.824,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,702.08,2.846,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,714.2,2.854,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ramlal et al., 1991","Ramlal, P. S., Anema, C., Cummings, E., Fee, E. J., Guildford, S. J., Hallard, K., Hecky, R. E., Hesslein, R. H., Himmer, S., Kling, H., Mathew, D., Nernberg, D.,  & Schindler, E.",1991,"Macrophyte and algal studies of some lakes in the Mackenzie Delta and on the Tuktoyaktuk Peninsula, 1985-86",Canada Department of Fisheries and Oceans Central and Arctic Region,http://hdl.handle.net/1993/30960,NA,Northwest Territories,Canada,Mackenzie Delta lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Equisetum fluviatile,809.76,2.908,value,none,table 2,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Raspopov et al., 1977","Raspopov, I. M., Ekzercev, V. A., & Koreljakova, I. L.",1977,Production by freshwater vascular plant (macrophyte) communities of lakes and reservoirs in the European part of the USSR,Folia Geobotanica et Phytotaxonomica,https://doi.org/10.1007/BF02854690,"Wetzel, 2010",Northwest Territories,Canada,Onega Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,0.1,-1,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Raspopov et al., 1977","Raspopov, I. M., Ekzercev, V. A., & Koreljakova, I. L.",1977,Production by freshwater vascular plant (macrophyte) communities of lakes and reservoirs in the European part of the USSR,Folia Geobotanica et Phytotaxonomica,https://doi.org/10.1007/BF02854690,"Wetzel, 2010",Northwest Territories,Canada,Onega Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,1.33,0.124,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Raspopov, 1971","Raspopov, I. M.",1971,Litoralvegetation der Onega-und Ladogasseen,"Hidrobiologia, Bucuresti",NA,"Wetzel, 2010",Northwest Territories,Canada,Ladoga Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,0.4,-0.398,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Raspopov, 1971","Raspopov, I. M.",1971,Litoralvegetation der Onega-und Ladogasseen,"Hidrobiologia, Bucuresti",NA,"Wetzel, 2010",Northwest Territories,Canada,Ladoga Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground emergent-dominated community,10.7,1.029,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rech et al., 1971","Rech, P. H., Wetzel, R. G., & van Thuy, N.",1971,"Distribution, production and role of aquatic macrophytes in a southern Michigan marl lake",Freshwater Biology,https://doi.org/10.1111/j.1365-2427.1971.tb01543.x,"Wetzel, 2010",Northwest Territories,Canada,Lawerence Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Chara-dominated community,110,2.041,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rech et al., 1971","Rech, P. H., Wetzel, R. G., & van Thuy, N.",1971,"Distribution, production and role of aquatic macrophytes in a southern Michigan marl lake",Freshwater Biology,https://doi.org/10.1111/j.1365-2427.1971.tb01543.x,"Wetzel, 2010",Northwest Territories,Canada,Lawerence Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground submergent-dominated community,130,2.114,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rech et al., 1971","Rech, P. H., Wetzel, R. G., & van Thuy, N.",1971,"Distribution, production and role of aquatic macrophytes in a southern Michigan marl lake",Freshwater Biology,https://doi.org/10.1111/j.1365-2427.1971.tb01543.x,"Wetzel, 2010",Northwest Territories,Canada,Lawerence Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground Scirpus subterminalis-dominated community,338,2.529,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Reiners, 1972","Reiners, W. A.",1972,Structure and Energetics of Three Minnesota Forests,Ecological Monographs,https://doi.org/10.2307/1942231,"Mitsch and Gosselink, 2010",Minnesota,United States of America,fen forest,fen,wetland,wetland,live macrophyte community,9808,3.992,mean,none,table 13-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Reiners, 1972","Reiners, W. A.",1972,Structure and Energetics of Three Minnesota Forests,Ecological Monographs,https://doi.org/10.2307/1942231,"Mitsch and Gosselink, 2010",Minnesota,United States of America,Anoka Sand Plain forested peatland,bog,wetland,wetland,live macrophyte community,15941,4.203,mean,none,table 13-5,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rejmankova et al., 1995","Rejmankova, E., Pope, K. O., Pohl, M. D., & Rey-Benayas, J. M.",1995,Freshwater Wetland Plant Communities of Northern Belize: Implications for Paleoecological Studies of Maya Wetland Agriculture,Biotropica,https://doi.org/10.2307/2388900,NA,NA,Belize,Coastal plain,karstic_wetland,karstic_wetland,wetland,Eleocharis interstincta,90,1.954,mean,none,discussion text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ribaudo et al., 2021","Ribaudo, C., Tison-Rosebery, J., Eon, M., Jan, G., & Bertrin, V.",2021,Wind Exposure Regulates Water Oxygenation in Densely Vegetated Shallow Lakes,Plants,https://doi.org/10.3390/plants10071269,NA,NA,France,Lacanau Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,total macrophyte community,319,2.504,mean,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ribaudo et al., 2021","Ribaudo, C., Tison-Rosebery, J., Eon, M., Jan, G., & Bertrin, V.",2021,Wind Exposure Regulates Water Oxygenation in Densely Vegetated Shallow Lakes,Plants,https://doi.org/10.3390/plants10071269,NA,NA,France,Lacanau Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,total macrophyte community,668,2.825,mean,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ribaudo et al., 2021","Ribaudo, C., Tison-Rosebery, J., Eon, M., Jan, G., & Bertrin, V.",2021,Wind Exposure Regulates Water Oxygenation in Densely Vegetated Shallow Lakes,Plants,https://doi.org/10.3390/plants10071269,NA,NA,France,Parentis-Biscarrossee Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,total macrophyte community,1626,3.211,mean,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Ribaudo et al., 2021","Ribaudo, C., Tison-Rosebery, J., Eon, M., Jan, G., & Bertrin, V.",2021,Wind Exposure Regulates Water Oxygenation in Densely Vegetated Shallow Lakes,Plants,https://doi.org/10.3390/plants10071269,NA,NA,France,Parentis-Biscarrossee Lake shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,total macrophyte community,4528,3.656,mean,none,results text,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rickett, 1924","Rickett, H. W.",1924,"A QUANTITATIVE STUDY OF THE LARGER AQUATIC PLANTS OF GREEN LAKE, WISCONSIN","Transactions of the Wisconsin Academy of Sciences, Arts, and Letters",NA,"Wetzel, 2010",Northwest Territories,Canada,Lake Mendota littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,aboveground submergent-dominated community,202,2.305,seasonal maxium,none,table 18-8,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,1965,3.293,mean,none,table 1,8.84,0.946,mean,% with g/m2 to calculate g/m2,table 4,59.54,1.775,mean,% with g/m2 to calculate g/m2,table 4
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,2506,3.399,mean,none,table 1,11.53,1.062,mean,% with g/m2 to calculate g/m2,table 4,83.7,1.923,mean,% with g/m2 to calculate g/m2,table 4
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phragmites australis,2942,3.469,mean,none,table 1,7.94,0.9,mean,% with g/m2 to calculate g/m2,table 4,92.38,1.966,mean,% with g/m2 to calculate g/m2,table 4
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phragmites australis,2707,3.432,mean,none,table 1,7.85,0.895,mean,% with g/m2 to calculate g/m2,table 4,93.66,1.972,mean,% with g/m2 to calculate g/m2,table 4
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phalaris arundinacea,2707,3.432,mean,none,table 1,13.54,1.132,mean,% with g/m2 to calculate g/m2,table 4,97.99,1.991,mean,% with g/m2 to calculate g/m2,table 4
"Rodriguez and Brisson, 2016","Rodriguez, M., & Brisson, J.",2016,Does the combination of two plant species improve removal efficiency in treatment wetlands?,Ecological Engineering,https://doi.org/10.1016/j.ecoleng.2016.02.047,NA,Quebec,Canada,mesocosm-scale experimental constructed wetland,constructed_treatment_wetland,wetland,wetland,aboveground Phragmites australis,2900,3.462,mean,none,table 1,7.25,0.86,mean,% with g/m2 to calculate g/m2,table 4,98.02,1.991,mean,% with g/m2 to calculate g/m2,table 4
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Potamogeton illinoensis,2,0.301,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Chara spp.,4,0.602,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Chara spp.,5,0.699,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Potamogeton illinoensis,6,0.778,maximum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Potamogeton illinoensis,8,0.903,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Vallisneria americana,14,1.146,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Potamogeton illinoensis,19,1.279,maximum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
"Rodusky et al., 2005","Rodusky, A. J., Sharfstein, B., East, T. L., & Maki, R. P.",2005,A Comparison of Three Methods to Collect Submerged Aquatic Vegetation in a Shallow Lake,Environmental Monitoring and Assessment,https://doi.org/10.1007/s10661-005-6338-2,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,Hydrilla verticillata,36,1.556,minmum,none,table 1,-9999,-9999,NA,NA,NA,-9999,-9999,NA,NA,NA
