publication_citation,publication_authors,publication_year,publication_title,publication_publisher,publication_doi,publication_with_reported_data,locality,country_continent,habitat_description,habitat_type,category,group,chla_ugl,log_chla_ugl,chla_ugl_value,chla_ugl_conversion,chla_ugl_location,water_tp_ugl,log_water_tp_ugl,water_tp_ugl_conversion,water_tp_ugl_location
"Celewicz-Goldyn et al., 2010","Celewicz-Goldyn, S., Klimko, M., & Kuczynska-Kippen, N.",2010,Phycological investigations of pelagic vs. littoral zones of shallow lake ecosystems,Biologia,https:/doi.org/10.2478/s11756-010-0031-9,NA,NA,Poland,Lake Budzynskie shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,35120,4.546,mean,mg/l to ug/l,table 2,220,2.342,mg/l to ug/l,table 2
"Celewicz-Goldyn et al., 2010","Celewicz-Goldyn, S., Klimko, M., & Kuczynska-Kippen, N.",2010,Phycological investigations of pelagic vs. littoral zones of shallow lake ecosystems,Biologia,https:/doi.org/10.2478/s11756-010-0031-9,NA,NA,Poland,Lake Debiniec shallow mesoeutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,46770,4.67,mean,mg/l to ug/l,table 2,370,2.568,mg/l to ug/l,table 2
"Cocquyt et al., 2010","Cocquyt, C., Plisnier, P. D., Gelorini, V., Rumes, B., & Verschuren, D.",2010,"Observations on the limnology and phytoplankton community of crater Lake Kyaninga (Uganda), with special attention to its diatom flora",Plant Ecology and Evolution,https://doi.org/10.5091/plecevo.2010.420,NA,NA,Uganda,Lake Kyaninga oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,9.27,0.967,mean,none,table 1,0.02,-1.699,none,table 1
"Cocquyt et al., 2010","Cocquyt, C., Plisnier, P. D., Gelorini, V., Rumes, B., & Verschuren, D.",2010,"Observations on the limnology and phytoplankton community of crater Lake Kyaninga (Uganda), with special attention to its diatom flora",Plant Ecology and Evolution,https://doi.org/10.5091/plecevo.2010.420,NA,NA,Uganda,Lake Kyaninga oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,5.24,0.719,mean,none,table 1,0.07,-1.155,none,table 1
"Cuassolo et al., 2011","Cuassolo, F., Navarro, M. B., Balseiro, E., & Modenutti, B.",2011,Leachates and elemental ratios of macrophytes and benthic algae of an Andean high altitude wetland,Journal of Limnology,https://doi.org/10.3274/JL11-70-2-02,NA,NA,Argentina,mallin Los Patos wet meadow,wet_meadow,wetland,wetland,3,0.477,median,none,table 1,8,0.903,none,table 1
"Cuassolo et al., 2011","Cuassolo, F., Navarro, M. B., Balseiro, E., & Modenutti, B.",2011,Leachates and elemental ratios of macrophytes and benthic algae of an Andean high altitude wetland,Journal of Limnology,https://doi.org/10.3274/JL11-70-2-02,NA,NA,Argentina,mallin Los Patos wet meadow,wet_meadow,wetland,wetland,2,0.301,median,none,table 1,20,1.301,none,table 1
"Daly et al., 2019","Daly, M., Kurek, J., Gregory-Eaves, I., & Patoine, A.",2019,"Reorganization of aquatic communities from low-nutrient lakes in northwestern New Brunswick, Canada",Journal of Paleolimnology,https://doi.org/10.1007/s10933-018-0052-x,NA,New Brunswick,Canada,States Lake oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.8,-0.097,mean,none,table 1,3,0.477,none,table 1
"Daly et al., 2019","Daly, M., Kurek, J., Gregory-Eaves, I., & Patoine, A.",2019,"Reorganization of aquatic communities from low-nutrient lakes in northwestern New Brunswick, Canada",Journal of Paleolimnology,https://doi.org/10.1007/s10933-018-0052-x,NA,New Brunswick,Canada,First Lake oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.9,0.462,mean,none,table 1,5.7,0.756,none,table 1
"Daly et al., 2019","Daly, M., Kurek, J., Gregory-Eaves, I., & Patoine, A.",2019,"Reorganization of aquatic communities from low-nutrient lakes in northwestern New Brunswick, Canada",Journal of Paleolimnology,https://doi.org/10.1007/s10933-018-0052-x,NA,New Brunswick,Canada,Lac Unique eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,16,1.204,mean,none,table 1,7.5,0.875,none,table 1
"DeNicola et al., 2006","DeNicola, D. M., Eyto, E. D., Wemaere, A., & Irvine, K.",2006,Periphyton response to nutrient addition in 3 lakes of different benthic productivity,Journal of the North American Benthological Society,https://doi.org/10.1899/0887-3593(2006)25[616:PRTNAI]2.0.CO;2,NA,NA,Ireland,Doolough Lake littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,17.5,1.243,mean,none,table 1,19,1.279,none,table 1
"DeNicola et al., 2006","DeNicola, D. M., Eyto, E. D., Wemaere, A., & Irvine, K.",2006,Periphyton response to nutrient addition in 3 lakes of different benthic productivity,Journal of the North American Benthological Society,https://doi.org/10.1899/0887-3593(2006)25[616:PRTNAI]2.0.CO;2,NA,NA,Ireland,Inchiquin Lake mesotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,14.3,1.155,mean,none,table 1,19.7,1.294,none,table 1
"DeNicola et al., 2006","DeNicola, D. M., Eyto, E. D., Wemaere, A., & Irvine, K.",2006,Periphyton response to nutrient addition in 3 lakes of different benthic productivity,Journal of the North American Benthological Society,https://doi.org/10.1899/0887-3593(2006)25[616:PRTNAI]2.0.CO;2,NA,NA,Ireland,Ballybeg Lake eutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,15.9,1.201,mean,none,table 1,81.3,1.91,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.3,-0.523,mean,none,table 1,1,0,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1,0,mean,none,table 1,1.2,0.079,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.7,-0.155,mean,none,table 1,1.4,0.146,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.6,-0.222,mean,none,table 1,2.4,0.38,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.4,-0.398,mean,none,table 1,4.7,0.672,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.9,-0.046,mean,none,table 1,7.6,0.881,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.3,0.114,mean,none,table 1,8.3,0.919,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.3,0.114,mean,none,table 1,9.3,0.968,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.8,0.255,mean,none,table 1,9.8,0.991,none,table 1
"Domysheva et al., 2023","Domysheva, V., Vorobyeva, S., Golobokova, L., Netsvetaeva, O., Onischuk, N., Sakirko, M., Khuriganova, O., & Fedotov, A.",2023,Assessment of the Current Trophic Status of the Southern Baikal Littoral Zone,Water,https://doi.org/10.3390/w15061139,NA,Siberia,Russia,Lake Baikal mesoligotrophic littoral zone,mesotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,0.9,-0.046,mean,none,table 1,12,1.079,none,table 1
"Ferragut et al., 2022","Ferragut, C., Dos Santos, T. R., Pellegrini, B. G., Souza, M. L., & Gomes, E. P.",2022,The success of algae with luxury P uptake and mixotrophy in P-limiting periphyton within-reservoir spatial heterogeneity,Hydrobiologia,https://doi.org/10.1007/s10750-022-04944-3,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,5.3,0.724,mean,none,table 2,15.5,1.19,none,table 2
"Ferragut et al., 2022","Ferragut, C., Dos Santos, T. R., Pellegrini, B. G., Souza, M. L., & Gomes, E. P.",2022,The success of algae with luxury P uptake and mixotrophy in P-limiting periphyton within-reservoir spatial heterogeneity,Hydrobiologia,https://doi.org/10.1007/s10750-022-04944-3,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,5.7,0.756,mean,none,table 2,16.3,1.212,none,table 2
"Ferragut et al., 2022","Ferragut, C., Dos Santos, T. R., Pellegrini, B. G., Souza, M. L., & Gomes, E. P.",2022,The success of algae with luxury P uptake and mixotrophy in P-limiting periphyton within-reservoir spatial heterogeneity,Hydrobiologia,https://doi.org/10.1007/s10750-022-04944-3,NA,Sao Paulo,Brazil,Ninfeias Reservoir shallow mesotrophic,shallow_reservoir,shallow_lake_and_pond,other_fw_benthic_system,6.2,0.792,mean,none,table 2,16.7,1.223,none,table 2
"Filiz, 2012","Filiz, N.",2012,Impacts of nutrients on periphyton growth and periphyton-macroinvertebrates interactions in shallow lakes: A mesocosm experiment,Middle East Technical University,NA,NA,NA,"Sweden, Estonia, Germany, Czech Republic, Turkey, Greece",Dam Lake Yalincak shallow,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,3.29,0.517,mean,none,table 2.3,22.02,1.343,none,table 2.3
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Rohrsee Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,11.2,1.049,mean,none,table 1,29.4,1.468,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Ebenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,31.1,1.493,mean,none,table 1,31.2,1.494,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Rohrsee Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,19.1,1.281,mean,none,table 1,46.3,1.666,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Vorsee Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,19.2,1.283,mean,none,table 1,47.5,1.677,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Lengenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,37.5,1.574,mean,none,table 1,52.9,1.723,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Lengenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,58,1.763,mean,none,table 1,53.8,1.731,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Vorsee Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,71.6,1.855,mean,none,table 1,54.9,1.74,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Ebenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,104.9,2.021,mean,none,table 1,55.3,1.743,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Lengenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,34.4,1.537,mean,none,table 1,57.8,1.762,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Ebenweiler See Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,23.2,1.365,mean,none,table 1,58.4,1.766,none,table 1
"Gross et al., 2003","Gross, E. M., Feldbaum, C., & Graf, A.",2003,Epiphyte biomass and elemental composition on submersed macrophytes in shallow eutrophic lakes,Hydrobiologia,https://doi.org/10.1023/B:HYDR.0000008538.68268.82,NA,NA,Germany,Vorsee Lake shallow eutrophic,shallow_lake,shallow_lake_and_pond,other_fw_benthic_system,24.9,1.396,mean,none,table 1,115,2.061,none,table 1
"Havens et al., 1996","Havens, K. E., East, T. L., Meeker, R. H., Davis, W. P., & Steinman, A. D.",1996,Phytoplankton and periphyton responses to in situ experimental nutrient enrichment in a shallow subtropical lake,Journal of Plankton Research,https://doi.org/10.1093/plankt/18.4.551,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,7,0.845,mean,none,table 1,22,1.342,none,table 1
"Havens et al., 1996","Havens, K. E., East, T. L., Meeker, R. H., Davis, W. P., & Steinman, A. D.",1996,Phytoplankton and periphyton responses to in situ experimental nutrient enrichment in a shallow subtropical lake,Journal of Plankton Research,https://doi.org/10.1093/plankt/18.4.551,NA,Florida,United States of America,Lake Okeechobee hypereutrophic littoral zone,eutrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,43,1.633,mean,none,table 1,32,1.505,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Nireco wetland,wetland,wetland,wetland,0.8,-0.097,mean,none,table 1,16,1.204,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Los Patos wetland,wetland,wetland,wetland,1.2,0.079,mean,none,table 1,51,1.708,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Playa Negra wetland,wetland,wetland,wetland,2.5,0.398,mean,none,table 1,55,1.74,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Pantanal wetland,wetland,wetland,wetland,9.7,0.987,mean,none,table 1,59,1.771,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Goye wetland,wetland,wetland,wetland,7.5,0.875,mean,none,table 1,66,1.82,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Las Cartas wetland,wetland,wetland,wetland,5.5,0.74,mean,none,table 1,70,1.845,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Nire wetland,wetland,wetland,wetland,3,0.477,mean,none,table 1,85,1.929,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Poza wetland,wetland,wetland,wetland,2.7,0.431,mean,none,table 1,99,1.996,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Llao Llao wetland,wetland,wetland,wetland,30.7,1.487,mean,none,table 1,117,2.068,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Catedral wetland,wetland,wetland,wetland,3,0.477,mean,none,table 1,128,2.107,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Fantasma wetland,wetland,wetland,wetland,16.5,1.217,mean,none,table 1,190,2.279,none,table 1
"Jara et al., 2024","Jara, F. G., Garcia, P. E., Garcia, R. D., Sganga, J. V., & Pueta, M.",2024,Which variables influence the structure and abundance of aquatic herbivorous assemblages in small forested Patagonian wetlands?,New Zealand Journal of Marine and Freshwater Research,https://doi.org/10.1080/00288330.2023.2236034,NA,NA,Argentina,Pitranto wetland,wetland,wetland,wetland,10.7,1.029,mean,none,table 1,409,2.612,none,table 1
"Kapfer et al., 1998","Kapfer, M.",1998,Assessment of the Colonization and Primary Production of Microphytobenthos in the Littoral of Acidic Mining Lakes in Lusatia (Germany),"Water, Air, and Soil Pollution",https://doi.org/10.1023/A:1005125916712,NA,NA,Germany,Lake Koschen littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.1,0.322,mean,none,table 1,7,0.845,mg/l to ug/l,table 1
"Kapfer et al., 1998","Kapfer, M.",1998,Assessment of the Colonization and Primary Production of Microphytobenthos in the Littoral of Acidic Mining Lakes in Lusatia (Germany),"Water, Air, and Soil Pollution",https://doi.org/10.1023/A:1005125916712,NA,NA,Germany,Lake 108 littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.8,0.255,mean,none,table 1,10,1,mg/l to ug/l,table 1
"Kapfer et al., 1998","Kapfer, M.",1998,Assessment of the Colonization and Primary Production of Microphytobenthos in the Littoral of Acidic Mining Lakes in Lusatia (Germany),"Water, Air, and Soil Pollution",https://doi.org/10.1023/A:1005125916712,NA,NA,Germany,Lake Plessa littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2,0.301,mean,none,table 1,10,1,mg/l to ug/l,table 1
"Kosaros et al., 2010","Kosaros, T., Gal, D., Pekar, F., & Lakatos, G.",2010,Effect of Different Treatments on the Periphyton Quantity and Quality in Experimental Fishponds,"World Academy of Science, Engineering and Technology",NA,NA,NA,Hungary,experimental fishpond,constructed_treatment_wetland,wetland,wetland,389,2.59,mean,none,table 1,1790,3.253,mg/l to ug/l,table 1
"Kosaros et al., 2010","Kosaros, T., Gal, D., Pekar, F., & Lakatos, G.",2010,Effect of Different Treatments on the Periphyton Quantity and Quality in Experimental Fishponds,"World Academy of Science, Engineering and Technology",NA,NA,NA,Hungary,experimental fishpond,constructed_treatment_wetland,wetland,wetland,112,2.049,mean,none,table 1,247,2.393,mg/l to ug/l,table 1
"Kosaros et al., 2010","Kosaros, T., Gal, D., Pekar, F., & Lakatos, G.",2010,Effect of Different Treatments on the Periphyton Quantity and Quality in Experimental Fishponds,"World Academy of Science, Engineering and Technology",NA,NA,NA,Hungary,experimental fishpond,constructed_treatment_wetland,wetland,wetland,595,2.775,mean,none,table 1,432,2.635,mg/l to ug/l,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake des Iles oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.5,0.176,mean,none,table 1,5.8,0.763,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Oxford oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.5,0.176,mean,none,table 1,6.9,0.839,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Fournelle oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,2.6,0.415,mean,none,table 1,7,0.845,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Quenouilles oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,1.6,0.204,mean,none,table 1,11.2,1.049,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Echo oligotrophic littoral zone,oligotrophic_lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,8.3,0.919,mean,none,table 1,12.8,1.107,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake d'Argent littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,7.5,0.875,mean,none,table 1,13.2,1.121,none,table 1
"Lalonde and Downing, 1991","Lalonde, S., & Downing, J. A.",1991,"Epiphyton Biomass is Related to Lake Trophic Status, Depth, and Macrophyte Architecture",Canadian Journal of Fisheries and Aquatic Sciences,https://doi.org/10.1139/f91-268,NA,Quebec,Canada,Lake Memphremagog littoral zone,lake_littoral_zone,lake_littoral_zone,other_fw_benthic_system,3.3,0.519,mean,none,table 1,17.5,1.243,none,table 1
